m_a_eV,SM_Np_D_0.15mm_GeVinv,SM_Eu_D_0.15mm_GeVinv,SM_Np_D_1mm_GeVinv,SM_Eu_D_1mm_GeVinv
9.246257116405732772e-06,2.534965920438348243e-09,1.640854327665672809e-08,2.438044657545392782e-10,1.578118307280346204e-09
9.353431520292377225e-06,2.522199693751924479e-09,1.632590895744364283e-08,2.426604173497968906e-10,1.570713013343866475e-09
9.461848194721992990e-06,2.509517727900163401e-09,1.624382004893645363e-08,2.415246228788230516e-10,1.563361146172752994e-09
9.571521538991855843e-06,2.496919610067466316e-09,1.616227387902720187e-08,2.403970481098997528e-10,1.556062484189027068e-09
9.682466119303114621e-06,2.484404930344966227e-09,1.608126779442286330e-08,2.392776591462731386e-10,1.548816807982893493e-09
9.794696670695385670e-06,2.471973281718669375e-09,1.600079916056860228e-08,2.381664224261463708e-10,1.541623900312696088e-09
9.908228099003786902e-06,2.459624260057265491e-09,1.592086536156886204e-08,2.370633047227069266e-10,1.534483546105093066e-09
1.002307548283864352e-05,2.447357464100321032e-09,1.584146380011092987e-08,2.359682731441789172e-10,1.527395532455396582e-09
1.013925407558814327e-05,2.435172495446480276e-09,1.576259189738859498e-08,2.348812951339165074e-10,1.520359648628176998e-09
1.025677930744420885e-05,2.423068958541741696e-09,1.568424709302622658e-08,2.338023384705224098e-10,1.513375686058030084e-09
1.037566678745184839e-05,2.411046460667886111e-09,1.560642684500389411e-08,2.327313712680053071e-10,1.506443438350596318e-09
1.049593230558226690e-05,2.399104611930957372e-09,1.552912862958279865e-08,2.316683619759664072e-10,1.499562701283767325e-09
1.061759183482999109e-05,2.387243025249888215e-09,1.545234994123164054e-08,2.306132793798228857e-10,1.492733272809133238e-09
1.074066153333432268e-05,2.375461316345233645e-09,1.537608829255371172e-08,2.295660926010646218e-10,1.485954953053644711e-09
1.086515774652537261e-05,2.363759103727886544e-09,1.530034121421382258e-08,2.285267710975468136e-10,1.479227544321505508e-09
1.099109700929496075e-05,2.352136008688057548e-09,1.522510625486701555e-08,2.274952846638155510e-10,1.472550851096282017e-09
1.111849604819269957e-05,2.340591655284172637e-09,1.515038098108664337e-08,2.264716034314724476e-10,1.465924680043260929e-09
1.124737178364750747e-05,2.329125670332070980e-09,1.507616297729449551e-08,2.254556978695731861e-10,1.459348840012031480e-09
1.137774133221490236e-05,2.317737683394018323e-09,1.500244984568966728e-08,2.244475387850629781e-10,1.452823142039303043e-09
1.150962200885031106e-05,2.306427326768129828e-09,1.492923920618007582e-08,2.234470973232509252e-10,1.446347399351975203e-09
1.164303132920875528e-05,2.295194235477659743e-09,1.485652869631316231e-08,2.224543449683200802e-10,1.439921427370438832e-09
1.177798701197118017e-05,2.284038047260391979e-09,1.478431597120721274e-08,2.214692535438772892e-10,1.433545043712137720e-09
1.191450698119774729e-05,2.272958402558217638e-09,1.471259870348387985e-08,2.204917952135405412e-10,1.427218068195368228e-09
1.205260936870841401e-05,2.261954944506813448e-09,1.464137458320137840e-08,2.195219424815675484e-10,1.420940322843347365e-09
1.219231251649109383e-05,2.251027318925201511e-09,1.457064131778691605e-08,2.185596681935206183e-10,1.414711631888519297e-09
1.233363497913774693e-05,2.240175174305645284e-09,1.450039663197128325e-08,2.176049455369769689e-10,1.408531821777150124e-09
1.247659552630868525e-05,2.229398161803468231e-09,1.443063826772295341e-08,2.166577480422755696e-10,1.402400721174163997e-09
1.262121314522546164e-05,2.218695935227051138e-09,1.436136398418332954e-08,2.157180495833072798e-10,1.396318160968256747e-09
