m_a_eV,dipole_cann1_D_0.15mm_GeVinv,dipole_cann1_D_1mm_GeVinv
8.728526623848370479e-06,1.571395647981185510e-09,1.508796549416363474e-10
8.829699955494083082e-06,1.554438874398821378e-09,1.493001876778369549e-10
8.932045998580959975e-06,1.537676680876722429e-09,1.477389261334162055e-10
9.035578346138921401e-06,1.521106840784747404e-09,1.461956629756296634e-10
9.140310748756222539e-06,1.504727153031267415e-09,1.446701932627332982e-10
9.246257116405732772e-06,1.488535441770706727e-09,1.431623144167749819e-10
9.353431520292377225e-06,1.472529556114261155e-09,1.416718261967020709e-10
9.461848194721992990e-06,1.456707369844021341e-09,1.401985306717770882e-10
9.571521538991855843e-06,1.441066781130422539e-09,1.387422321953040891e-10
9.682466119303114621e-06,1.425605712252740081e-09,1.373027373786552154e-10
9.794696670695385670e-06,1.410322109323045971e-09,1.358798550655991712e-10
9.908228099003786902e-06,1.395213942013068468e-09,1.344733963069271736e-10
1.002307548283864352e-05,1.380279203284345301e-09,1.330831743353691908e-10
1.013925407558814327e-05,1.365515909121402910e-09,1.317090045408044517e-10
1.025677930744420885e-05,1.350922098267977033e-09,1.303507044457549532e-10
1.037566678745184839e-05,1.336495831966276890e-09,1.290080936811655082e-10
1.049593230558226690e-05,1.322235193699205728e-09,1.276809939624613134e-10
1.061759183482999109e-05,1.308138288935556718e-09,1.263692290658848451e-10
1.074066153333432268e-05,1.294203244878125088e-09,1.250726248051057245e-10
1.086515774652537261e-05,1.280428210214637219e-09,1.237910090081020280e-10
1.099109700929496075e-05,1.266811354871623461e-09,1.225242114943083886e-10
1.111849604819269957e-05,1.253350869771002872e-09,1.212720640520302430e-10
1.124737178364750747e-05,1.240044966589564323e-09,1.200344004161191831e-10
1.137774133221490236e-05,1.226891877521048054e-09,1.188110562459066728e-10
1.150962200885031106e-05,1.213889855041113470e-09,1.176018691033949135e-10
1.164303132920875528e-05,1.201037171674876368e-09,1.164066784316995357e-10
1.177798701197118017e-05,1.188332119767105338e-09,1.152253255337433907e-10
1.191450698119774729e-05,1.175773011255097824e-09,1.140576535511967906e-10
1.205260936870841401e-05,1.163358177444153109e-09,1.129035074436635634e-10
1.219231251649109383e-05,1.151085968785509064e-09,1.117627339681068351e-10
1.233363497913774693e-05,1.138954754656939732e-09,1.106351816585166589e-10
1.247659552630868525e-05,1.126962923145777366e-09,1.095207008058116717e-10
1.262121314522546164e-05,1.115108880834459868e-09,1.084191434379752564e-10
1.276750704319264449e-05,1.103391052588448496e-09,1.073303633004235607e-10
1.291549665014882683e-05,1.091807881346673863e-09,1.062542158366003304e-10
1.306520162124719865e-05,1.080357827914270735e-09,1.051905581687995161e-10
