m_a_eV,MQM_squid_GeVinv
2.439986297259550470e-04,3.659604242336512217e-14
2.468268452255692339e-04,3.665187340621366555e-14
2.496878428884326717e-04,3.670861599942791692e-14
2.525820026962784779e-04,3.676627461205665911e-14
2.555097090352507149e-04,3.682485402339307504e-14
2.584713507469563534e-04,3.688435938697359725e-14
2.614673211801091831e-04,3.694479623436340524e-14
2.644980182427719858e-04,3.700617047873424417e-14
2.675638444552045064e-04,3.706848841824049708e-14
2.706652070033241072e-04,3.713175673920127942e-14
2.738025177927857720e-04,3.719598251909665895e-14
2.769761935036891046e-04,3.726117322938728443e-14
2.801866556459195316e-04,3.732733673816759624e-14
2.834343306151309184e-04,3.739448131266373235e-14
2.867196497493769728e-04,3.746261562158786156e-14
2.900430493863991868e-04,3.753174873736150281e-14
2.934049709215786890e-04,3.760189013822141773e-14
2.968058608665602493e-04,3.767304971022171442e-14
3.002461709085549389e-04,3.774523774914717587e-14
3.037263579703311511e-04,3.781846496235261860e-14
3.072468842709003239e-04,3.789274247054417839e-14
3.108082173869063645e-04,3.796808180951851513e-14
3.144108303147264728e-04,3.804449493187639535e-14
3.180552015332919840e-04,3.812199420872762895e-14
3.217418150676371437e-04,3.820059243140388815e-14
3.254711605531848163e-04,3.828030281319743895e-14
3.292437333007768767e-04,3.836113899114207354e-14
3.330600343624588820e-04,3.844311502785473447e-14
3.369205705980267201e-04,3.852624541345435885e-14
3.408258547423452110e-04,3.861054506757584023e-14
3.447764054734464112e-04,3.869602934149610972e-14
3.487727474814177595e-04,3.878271402038958400e-14
3.528154115380883050e-04,3.887061532572974819e-14
3.569049345675229896e-04,3.895974991785376159e-14
3.610418597173337151e-04,3.905013489870614117e-14
3.652267364308175480e-04,3.914178781477791845e-14
3.694601205199302477e-04,3.923472666025671255e-14
3.737425742391063937e-04,3.932896988040316215e-14
3.780746663599348950e-04,3.942453637516871736e-14
3.824569722466999088e-04,3.952144550306890885e-14
3.868900739327975780e-04,3.961971708532667257e-14
3.913745601980383993e-04,3.971937141029890700e-14
3.959110266468458469e-04,3.982042923819944018e-14
4.005000757873611187e-04,3.992291180613136280e-14
4.051423171114647368e-04,4.002684083344052223e-14
4.098383671757261184e-04,4.013223852740229462e-14
4.145888496832911426e-04,4.023912758925267893e-14
4.193943955667186118e-04,4.034753122057479490e-14
4.242556430717776958e-04,4.045747313005114116e-14
4.291732378422157359e-04,4.056897754059175497e-14
4.341478330055092592e-04,4.068206919684802397e-14
4.391800892596086085e-04,4.079677337312152168e-14
4.442706749606882793e-04,4.091311588167698579e-14
4.494202662119142376e-04,4.103112308146815482e-14
4.546295469532399291e-04,4.115082188728543697e-14
4.598992090522438817e-04,4.127223977933330006e-14
4.652299523960188752e-04,4.139540481324609757e-14
4.706224849841281286e-04,4.152034563055026390e-14
4.760775230226368536e-04,4.164709146958105115e-14
4.815957910192350034e-04,4.177567217686177827e-14
4.871780218794630342e-04,4.190611821895397968e-14
4.928249570040513054e-04,4.203846069478618420e-14
4.985373463873893265e-04,4.217273134847004590e-14
5.043159487171358559e-04,4.230896258261194275e-14
5.101615314749833501e-04,4.244718747212904866e-14
5.160748710385908026e-04,4.258743977857834178e-14
5.220567527846975506e-04,4.272975396500823636e-14
5.281079711934330654e-04,4.287416521134199513e-14
5.342293299538351933e-04,4.302070943030329748e-14
5.404216420705914865e-04,4.316942328389377038e-14
5.466857299720180412e-04,4.332034420043395536e-14
5.530224256192900478e-04,4.347351039217852833e-14
5.594325706169377133e-04,4.362896087351810378e-14
5.659170163246242521e-04,4.378673547977984120e-14
5.724766239702178735e-04,4.394687488664020752e-14
5.791122647641758691e-04,4.410942063016346407e-14
5.858248200152535966e-04,4.427441512748068335e-14
5.926151812475552710e-04,4.444190169812427760e-14
5.994842503189408769e-04,4.461192458603423305e-14
6.064329395408061141e-04,4.478452898225283036e-14
6.134621717992506636e-04,4.495976104832547758e-14
6.205728806776500623e-04,4.513766794042634229e-14
6.277660105806500508e-04,4.531829783422806885e-14
6.350425168595961881e-04,4.550169995053612900e-14
6.424033659394191159e-04,4.568792458170909896e-14
6.498495354469888087e-04,4.587702311888726631e-14
6.573820143409585173e-04,4.606904808005295523e-14
6.650018030431118507e-04,4.626405313894712537e-14
6.727099135712337041e-04,4.646209315486774060e-14
6.805073696735206446e-04,4.666322420337676665e-14
6.883952069645496224e-04,4.686750360794363502e-14
6.963744730628222430e-04,4.707498997255423475e-14
7.044462277299036847e-04,4.728574321531602724e-14
7.126115430111745839e-04,4.749982460309071242e-14
7.208715033782135597e-04,4.771729678718765401e-14
7.292272058728313045e-04,4.793822384015234471e-14
7.376797602527730442e-04,4.816267129368571305e-14
7.462302891391107279e-04,4.839070617773168260e-14
7.548799281653431614e-04,4.862239706077161910e-14
7.636298261282241416e-04,4.885781409136619375e-14
7.724811451403400600e-04,4.909702904098659871e-14
